framenum,queue density,dynamic density
611,0.757704,0.0571235
612,0.759217,0.0534869
613,0.760181,0.0574056
614,0.761748,0.058256
615,0.762771,0.0548036
616,0.763625,0.0580209
617,0.764699,0.0588242
618,0.764441,0.0554698
619,0.763594,0.0600821
620,0.784892,0.0723439
621,0.784124,0.0689502
622,0.78347,0.0723674
623,0.783658,0.0717639
624,0.783646,0.0681978
625,0.783431,0.0714269
626,0.783309,0.0718227
627,0.785292,0.0599097
628,0.784093,0.062547
629,0.784842,0.0623119
630,0.785649,0.0588948
631,0.790351,0.0606699
632,0.791543,0.0590554
633,0.796155,0.0557715
634,0.798059,0.0577152
635,0.797942,0.0573469
636,0.800199,0.0546664
637,0.801339,0.0568766
638,0.801861,0.0561438
639,0.804949,0.0540708
640,0.805211,0.0557323
641,0.805329,0.0563123
642,0.806669,0.053675
643,0.806387,0.0548232
644,0.806207,0.0538004
645,0.817986,0.0628331
646,0.818147,0.062406
647,0.818045,0.0600116
648,0.817818,0.0558734
649,0.817351,0.0575428
650,0.817379,0.0569315
651,0.817735,0.0527933
652,0.817877,0.0483494
653,0.817253,0.0499875
654,0.822379,0.048659
655,0.825212,0.0514883
656,0.825377,0.052374
657,0.824515,0.0499757
658,0.825522,0.0530049
659,0.823504,0.0532479
660,0.823492,0.0512963
661,0.823065,0.0550936
662,0.821928,0.0554737
663,0.824969,0.0521036
664,0.824099,0.0553169
665,0.821936,0.0551759
666,0.822336,0.0519312
667,0.821568,0.0550034
668,0.820847,0.0550661
669,0.820682,0.0519272
670,0.820443,0.0666891
671,0.819793,0.0660856
672,0.819581,0.0624647
673,0.819366,0.063899
674,0.818421,0.0636247
675,0.817344,0.0594316
676,0.818409,0.0619004
677,0.818449,0.0585695
678,0.818621,0.0549839
679,0.818758,0.0569863
680,0.817461,0.055556
681,0.817877,0.0526287
682,0.817669,0.055168
683,0.816575,0.054831
684,0.81672,0.0509319
685,0.815647,0.0538004
686,0.814487,0.0529696
687,0.813609,0.049525
688,0.812763,0.0516216
689,0.812441,0.0507359
690,0.810619,0.0470288
691,0.809091,0.0486786
692,0.81027,0.0478635
693,0.809749,0.0445992
694,0.810078,0.0462137
695,0.815369,0.0592906
696,0.813707,0.0541413
697,0.813127,0.0551328
698,0.81368,0.0525621
699,0.81297,0.0485258
700,0.811125,0.0489412
701,0.810811,0.0480477
702,0.813013,0.043114
703,0.812543,0.0443797
704,0.81685,0.0437371
705,0.816681,0.0404845
706,0.819871,0.0422244
707,0.819358,0.0407863
708,0.82207,0.0368283
709,0.82205,0.0389993
710,0.824382,0.0397674
711,0.825522,0.0381842
712,0.826439,0.0415073
713,0.826533,0.0415857
714,0.827093,0.0386309
715,0.827411,0.0405041
716,0.827795,0.040077
717,0.828136,0.0368518
718,0.828665,0.0377375
719,0.829609,0.0352765
720,0.837357,0.0430709
721,0.837795,0.0412487
722,0.838219,0.0368558
723,0.838336,0.0324041
724,0.838176,0.0318006
725,0.838638,0.02932
726,0.838854,0.0271726
727,0.838638,0.0258245
728,0.838712,0.0251622
729,0.838807,0.0230618
730,0.838983,0.0238416
731,0.839116,0.0230814
732,0.839269,0.0206596
733,0.839198,0.0208516
734,0.838928,0.0187669
735,0.839308,0.0164822
736,0.839002,0.0164665
737,0.838889,0.0162824
738,0.838971,0.0145268
739,0.838646,0.0161922
740,0.838712,0.0150205
741,0.838665,0.0135549
742,0.838634,0.0130377
743,0.838814,0.0118659
744,0.838904,0.00945984
745,0.8399,0.0169799
746,0.840155,0.0136451
747,0.840088,0.0113252
748,0.83981,0.0107334
749,0.839422,0.0098909
750,0.839477,0.00939714
751,0.840253,0.00954213
752,0.840253,0.00697928
753,0.839982,0.00676375
754,0.840084,0.00619553
755,0.840084,0.00517274
756,0.840413,0.00433021
757,0.840601,0.00426359
758,0.840974,0.0039736
759,0.841083,0.00413427
760,0.84115,0.0047456
761,0.841052,0.00520409
762,0.840883,0.00471816
763,0.841303,0.00545489
764,0.841389,0.00572136
765,0.841871,0.00583892
766,0.841934,0.00652862
767,0.842036,0.00728886
768,0.842275,0.0068382
769,0.84229,0.00687347
770,0.846585,0.0143191
771,0.846601,0.0128927
772,0.846495,0.0120462
773,0.846338,0.0111567
774,0.846217,0.00986347
775,0.846397,0.00900527
776,0.846236,0.00683037
777,0.846511,0.00297432
778,0.846397,0.00341714
779,0.846593,0.00454182
780,0.846483,0.0049141
781,0.846307,0.00589379
782,0.846072,0.00695968
783,0.845751,0.0069205
784,0.845735,0.00755925
785,0.845331,0.00717913
786,0.845441,0.00622296
787,0.845406,0.00596432
788,0.845609,0.00544705
789,0.84566,0.00574487
790,0.845464,0.00764154
791,0.845676,0.00863691
792,0.845355,0.00883676
793,0.844908,0.0103494
794,0.84461,0.0121403
795,0.84289,0.019676
796,0.842553,0.021318
797,0.842396,0.0212827
798,0.842161,0.020205
799,0.842326,0.0220703
800,0.842376,0.0227522
801,0.841808,0.0211299
802,0.841354,0.0206283
803,0.841628,0.0213219
804,0.841628,0.0204127
805,0.841887,0.0218666
806,0.841369,0.0226934
807,0.841311,0.0219371
808,0.841381,0.0231519
809,0.840797,0.0230304
810,0.840821,0.0218039
811,0.839645,0.0235164
812,0.839868,0.0234537
813,0.84095,0.0225563
814,0.841718,0.0240963
815,0.842733,0.0242335
816,0.843372,0.0235908
817,0.843678,0.0250682
818,0.843489,0.0246293
819,0.843732,0.0234811
820,0.8455,0.032792
821,0.845323,0.0306446
822,0.845069,0.0275879
823,0.845574,0.0265299
824,0.845837,0.0240258
825,0.846378,0.0208595
826,0.846562,0.0200444
827,0.847028,0.014707
828,0.847526,0.0132453
829,0.847643,0.0142015
830,0.847769,0.014566
831,0.847878,0.014178
832,0.847988,0.0142956
833,0.848541,0.013551
834,0.848568,0.0123911
835,0.848505,0.011768
836,0.848776,0.010608
837,0.84876,0.0101299
838,0.848866,0.0101221
839,0.84925,0.00862515
840,0.849164,0.00893865
841,0.849277,0.00925215
842,0.84925,0.00941282
843,0.84925,0.00877406
844,0.849779,0.00912675
845,0.850398,0.0146992
846,0.85019,0.0136137
847,0.850798,0.0134021
848,0.851245,0.0122735
849,0.85099,0.0110744
850,0.8507,0.011141
851,0.850915,0.0103572
852,0.85097,0.00809612
853,0.850919,0.00817449
854,0.850915,0.00808044
855,0.851002,0.00772776
856,0.85077,0.00797464
857,0.850892,0.00783748
858,0.850763,0.00764938
859,0.850598,0.00817841
860,0.850308,0.00797856
861,0.850014,0.00790018
862,0.850422,0.00807653
863,0.850379,0.00879757
864,0.850265,0.00890338
865,0.850089,0.0101574
866,0.850324,0.0110626
867,0.850402,0.0111684
868,0.850437,0.0127281
869,0.850669,0.0126732
870,0.84932,0.0161491
871,0.849034,0.0153654
872,0.848866,0.0138488
873,0.848791,0.0119522
874,0.848423,0.0112389
875,0.848537,0.0103533
876,0.848498,0.00933444
877,0.848513,0.00826071
878,0.848788,0.00900135
879,0.848748,0.0086565
880,0.849332,0.0164705
881,0.84916,0.0157651
882,0.849383,0.015142
883,0.849324,0.0150323
884,0.849352,0.0142054
885,0.849724,0.013743
886,0.849732,0.0134217
887,0.849842,0.00581933
888,0.850194,0.00566258
889,0.850265,0.00656781
890,0.850379,0.00690482
891,0.850285,0.007234
892,0.850347,0.00806869
893,0.850265,0.00869569
894,0.850343,0.00877406
895,0.850484,0.00916594
896,0.850731,0.00960875
897,0.850759,0.0093266
898,0.850951,0.00977726
899,0.851013,0.0095343
900,0.850888,0.00871136
901,0.850821,0.00851542
902,0.850872,0.00886419
903,0.85088,0.00823327
904,0.850833,0.00804909
905,0.851809,0.0117131
906,0.85215,0.0100829
907,0.852193,0.00946376
908,0.852177,0.0079041
909,0.852232,0.0065874
910,0.852295,0.00693225
911,0.852393,0.00719873
912,0.852373,0.00571744
913,0.852314,0.00636012
914,0.852738,0.00691658
915,0.852753,0.0070263
916,0.852824,0.00841354
917,0.852569,0.00916202
918,0.851938,0.00960875
919,0.851542,0.0101809
920,0.851386,0.00938147
921,0.85146,0.00828422
922,0.851593,0.00817841
923,0.851738,0.0069636
924,0.851738,0.00490234
925,0.851895,0.00427143
926,0.851754,0.00281757
927,0.851711,0.00232773
928,0.851805,0.00220625
929,0.851746,0.00163803
930,0.850394,0.00554502
931,0.850312,0.00492586
932,0.850414,0.00409508
933,0.850559,0.00351903
934,0.85061,0.00300959
935,0.850555,0.00300176
936,0.850328,0.00307621
937,0.850045,0.00334269
938,0.849724,0.00461628
939,0.849638,0.00515314
940,0.849395,0.00674415
941,0.849258,0.00781005
942,0.848933,0.00853894
943,0.848772,0.00902094
944,0.848791,0.00974199
945,0.848748,0.0102162
946,0.848768,0.0105179
947,0.848756,0.0104474
948,0.848788,0.0104199
949,0.848968,0.010322
950,0.848913,0.00942065
951,0.848933,0.00828814
952,0.848878,0.00848799
953,0.848878,0.00774343
954,0.848925,0.00683037
955,0.850265,0.011043
956,0.849712,0.00994576
957,0.849959,0.00885635
958,0.849673,0.00882109
959,0.849771,0.00811963
960,0.849716,0.00725751
961,0.850006,0.00739075
962,0.850049,0.00516098
963,0.850034,0.0054157
964,0.850065,0.00554502
965,0.850226,0.00557245
966,0.85032,0.00504342
967,0.850469,0.00512571
968,0.850598,0.00515706
969,0.850527,0.00490626
970,0.850335,0.00591338
971,0.850049,0.00713603
972,0.850053,0.007234
973,0.849755,0.00810004
974,0.849297,0.00878974
975,0.849113,0.00871528
976,0.849168,0.00850367
977,0.848737,0.00891905
978,0.848599,0.0101064
979,0.848427,0.0106668
980,0.84702,0.0159023
981,0.846954,0.0156867
982,0.847212,0.0164548
983,0.847412,0.016588
984,0.848043,0.0166115
985,0.848368,0.0171562
986,0.848936,0.0167291
987,0.848854,0.0140095
988,0.848956,0.0132924
989,0.84914,0.0118659
990,0.84898,0.0105022
991,0.848866,0.0103337
992,0.848725,0.00892297
993,0.848893,0.00744953
994,0.848948,0.00748088
995,0.848948,0.00722224
996,0.848776,0.00617594
997,0.848682,0.00663443
998,0.848858,0.00650511
999,0.849062,0.00666578
1000,0.849477,0.00713603
1001,0.849426,0.00688523
1002,0.849497,0.00679118
1003,0.849775,0.00656781
1004,0.849779,0.0069205
1005,0.850077,0.0124459
1006,0.849951,0.0114584
1007,0.849563,0.0107256
1008,0.849689,0.00993009
1009,0.849591,0.00947943
1010,0.849583,0.00838611
1011,0.84715,0.0190529
1012,0.84693,0.0173248
1013,0.846848,0.0169525
1014,0.847134,0.0176187
1015,0.846946,0.0175599
1016,0.847099,0.0172425
1017,0.847244,0.0169054
1018,0.847114,0.0102945
1019,0.84762,0.0102122
1020,0.847906,0.0104709
1021,0.848055,0.0108941
1022,0.847949,0.0108667
1023,0.847667,0.0112821
1024,0.847424,0.0114466
1025,0.846879,0.0106198
1026,0.846773,0.0107569
1027,0.84673,0.0100477
1028,0.846495,0.00966362
1029,0.846464,0.0094716
1030,0.84691,0.00883676
1031,0.84693,0.00833908
1032,0.846993,0.00855853
1033,0.846773,0.00898175
1034,0.846812,0.00830773
1035,0.846856,0.00872704
1036,0.848454,0.0127712
1037,0.848255,0.0117288
1038,0.848176,0.0115211
1039,0.847855,0.0114349
1040,0.847777,0.0107805
1041,0.847855,0.0111606
1042,0.84791,0.0112703
1043,0.848008,0.0104239
1044,0.84807,0.0119913
1045,0.848106,0.0125948
1046,0.8482,0.0125556
1047,0.847992,0.0133864
1048,0.848019,0.0132649
1049,0.847694,0.0130416
1050,0.847643,0.0130572
1051,0.847863,0.0125635
1052,0.847824,0.0119835
1053,0.848168,0.0119953
1054,0.847882,0.0112429
1055,0.847698,0.0106276
1056,0.847741,0.0109764
1057,0.847871,0.0104082
1058,0.847929,0.00980077
1059,0.848227,0.00939322
1060,0.848302,0.00936971
